修正前の元の文章,修正後の文章（または修正指示）,指導コメント,推測される修正理由,カテゴリ,重要度,,,,,,,,,,,,,,,,,,,,
【数式 4.1 行列式】,（TeXコードの修正指示）,texコードが見たい。(xx1​) ... Zwとすべき。,数式の誤り透視投影変換の行列式の記述（表記法や変数）が誤っている可能性があるため。,数式,,,,,,,,,,,,,,,,,,,,,
Unity [15] とは、...マルチプラットフォームである。,Unity [15] とは、...マルチプラットフォームに対応したゲームエンジンである。,「マルチプラットフォーム」は、モノの性質を表す語ではない。,定義の誤り「Unity＝マルチプラットフォーム」ではなく、「Unity＝ゲームエンジン（であり、マルチプラットフォーム対応）」が正しい定義であるため。,用語定義,,,,,,,,,,,,,,,,,,,,,
使用しる他,使用できる,（「る他」を消して修正）,誤字脱字・文法単純な入力ミス（typo）。,誤字脱字,,,,,,,,,,,,,,,,,,,,,
【第5章 冒頭】,（段落・レイアウトの修正）,どこからか、Texコードがおかしくなってる気がする。たぶん 4.2の所の環境がきちんとおわってないのでは?そのせいで、段落切ったのに、字下げがおこなわれていない。推測,TeXの記述ミス前の章のLaTeX環境（数式や箇条書きなど）の閉じ忘れにより、以降の章の段落インデントが効かなくなっている。,フォーマット,,,,,,,,,,,,,,,,,,,,,
視覚的に行うことができることにより,視覚的に行えるように,（「行うことができる」を修正）,表現の簡潔化「ことができる」という冗長な表現（可能表現の多用）を避けるため。,文体,,,,,,,,,,,,,,,,,,,,,
表記を統一すること!?,（python / PowerPointなどの表記揺れ修正）,（pythonとPowerPointの箇所に丸囲み）表記を統一すること!?,表記揺れ小文字のpythonと大文字のPython、PowerPointの綴りなどが混在しているため。,表記揺れ,,,,,,,,,,,,,,,,,,,,,
【表紙】（全体に対して）,6章以降も追加でCheckまずは自分でおかしな（箇所）が無いか確認... 添削をうける様にしてください。,（特になし）,基本姿勢の指導誤字や論理破綻が多いため、指導教員に出す前に最低限のセルフチェックを行うよう強く求められている。,心構え,,,,,,,,,,,,,,,,,,,,,
【第2章 2.5】IKEP [6] [7] らは,IKEP [6] らは（または[7]のみ）,Citeはどーちらか一方にする。,引用のルール同一著者の同一文献（または重複する内容）に対して複数の番号を振る必要がないため。,フォーマット,,,,,,,,,,,,,,,,,,,,,
【第2章 2.5】Hololens2のハンドトラッキング機能で予め決めたジェスチャーを検知したら,（ジェスチャーの具体的内容を記述する）,そのジェスチャーに,具体性の欠如「予め決めた」では読者に伝わらないため、具体的にどのような動作か（ピンチ操作など）を書く必要がある。,内容,,,,,,,,,,,,,,,,,,,,,
【第3章 3.2】本システムでは、ユーザ しら見た 聴器の の位置を計算する,本システムでは、ユーザから見た聴衆の顔の位置を計算する,（脱字箇所に丸と書き込み）,誤字脱字助詞や肝心な名詞（顔）が抜けており、文意が通じないため。,文法,,,,,,,,,,,,,,,,,,,,,
【第4章 4.1】発表ノート表示機能により...,（機能の説明と効果の記述について）,どういうこと?,論理の不明瞭さ機能の説明と、それによって得られる効果（緊張緩和）の因果関係が論理的に繋がっていない、または分かりにくいため。,論理,,,,,,,,,,,,,,,,,,,,,
【第5章 5.2】非情に効果,非常に高価,（丸囲みのみ）,誤変換「非情に効果（ひじょうにこうか）」という誤変換により、意味が「残酷な効果」になってしまっているため。,誤字脱字,,,,,,,,,,,,,,,,,,,,,
【第6章 6.2.1】（図6.1 システム実行結果のスクショ）,（PowerPointのスライドや発表メモが表示されている状態の画像に差し替え）,なにかしら発表メモがここに出ているスクリーンショットがほしい。,証拠の不足「発表ノート表示機能」の説明図なのに、ただカボチャが浮いているだけでノートが表示されていないため。,図表,,,,,,,,,,,,,,,,,,,,,
【第6章 6.2.1】各種機能をオンにするために...ハンドメニューを使用した。,各種機能を起動するために...,起動直後は「オンにするためハンドメニューを使用した」っておかしいよね。,論理矛盾まだ機能が動いていない（オフの）状態なのに、「オンにするために使った」という記述は時系列や状態遷移として不自然。,論理,,,,,,,,,,,,,,,,,,,,,
【第6章 6.2.1】（表6.3 Windows Runtime API）,（表内の引用番号[x]を削除、または整理）,Citeつけない♪こういう所が（空き）すぎ,フォーマット表の中に引用番号が散乱しており見づらい、およびセルの余白が大きすぎてスカスカに見えるため。,フォーマット,,,,,,,,,,,,,,,,,,,,,
【第6章 6.2.1】（図6.3 スライド操作UI）,（「発表ノート表示機能」と「タイマー」を整理して記述）,これは発表ノート表示機能ではなくタイマー表示機能じゃないの?2つのモノを（混同?）したい...,定義・分類の誤り「スライド操作UI」という図の中で、タイマー機能の説明が主になっており、機能の分類と説明が整合していない。,論理/構成,,,,,,,,,,,,,,,,,,,,,
【第6章 6.3.2 評価結果】各項目の平均値平均、中央値平均、最頻値平均はグループごとに聴衆の採点の平均値平均・中央値平均・最頻値平均を各グループの人数で割ったものである。,（統計処理の計算式を見直す）,?「平均値の平均を人数でわる」とはどういうこと?,数学・統計の誤り「平均の平均をさらに人数で割る」という計算は統計的に無意味どころか、値が極端に小さくなり（例: 3点/10人=0.3点）、評価指標として破綻している。致命的なミス。,論理/数学,,,,,,,,,,,,,,,,,,,,,
【第6章 6.3.2 評価結果】（考察全体に対して）,（評価軸の再考）,アンケートは「発表者の緊張」とどう関係付けられるの?,論理の飛躍「前を向いているか」「流暢か」などの客観指標が、直ちに「本人の緊張が緩和されたか」に結びつくわけではない（緊張していても前を向くことはできる）。,論理,,,,,,,,,,,,,,,,,,,,,
【第6章 6.3.3 評価まとめ】（まとめの考察に対して）,（実験の妥当性の再考）,・今回のアンケートで見ているのって「プレゼンテーション技術」だよね。・アンケートでは、「あがり症対策になっている（か）?」を見ないとダメだよね。,研究の根幹「プレゼンが上手くなったか」を評価してしまっており、本来の目的である「あがり症（緊張）が和らいだか」を評価できていないという、実験設計の妥当性に対する根本的な指摘。,論理/研究の本質,,,,,,,,,,,,,,,,,,,,,
【参考文献】（文献リスト）,（カテゴリごとに分けない、または通し番号のルールを守る）,調べたクラス毎に参考（文献）にしてるのはNG.,フォーマット使用したクラスや技術ごとに参考文献をブロック分けしているようだが、論文の参考文献リストは通し番号順（またはアルファベット順）に一括で並べるのが一般的。,フォーマット,,,,,,,,,,,,,,,,,,,,,
【1.2 研究目的】...シミュレーション環境を提案する。,...シミュレーション環境を構築することである。（「〜整備を行ない、...導入を可能とすることで、...環境を構築することである。」への書き換え指示）,「目的は、・・・ する。」主語と述語 マッチしてない、,係り受けの不整合「本研究の目的は」で始まる文は、末尾を「〜ことである」などの名詞形で結ぶ必要があり、動詞「〜する」で終わると文法的に誤りとなるため。,文法/論理,,,,,,,,,,,,,,,,,,,,,
【1.2 研究目的】影響を与えることができるような,影響を与えられる,（特になし）,表現の簡潔化「〜することができる」という冗長な表現（可能表現の多用）を避け、より簡潔な言い回しにするため。,文体,,,,,,,,,,,,,,,,,,,,,
【7.1 評価環境】Eclipse SUMO sumo Version 1.20.0,（正式名称を確認して修正）,これ 正式名称?,事実確認ソフトウェア名（Eclipse SUMO）の後に小文字のsumoが重複しているなど、表記が正確でない可能性があるため。,正確性/用語,,,,,,,,,,,,,,,,,,,,,
【表紙】（全体に対して）,6章以降も追加でCheckまずは自分でおかしな（箇所）が無いか確認... 添削をうける様にしてください。,（特になし）,基本姿勢の指導誤字や論理破綻が多いため、指導教員に出す前に最低限のセルフチェックを行うよう強く求められている。,心構え,,,,,,,,,,,,,,,,,,,,,
【第2章 2.5】IKEP [6] [7] らは,IKEP [6] らは（または[7]のみ）,Citeはどーちらか一方にする。,引用のルール同一著者の同一文献（または重複する内容）に対して複数の番号を振る必要がないため。,フォーマット,,,,,,,,,,,,,,,,,,,,,
【第2章 2.5】Hololens2のハンドトラッキング機能で予め決めたジェスチャーを検知したら,（ジェスチャーの具体的内容を記述する）,そのジェスチャーに,具体性の欠如「予め決めた」では読者に伝わらないため、具体的にどのような動作か（ピンチ操作など）を書く必要がある。,内容,,,,,,,,,,,,,,,,,,,,,
【第3章 3.2】本システムでは、ユーザ しら見た 聴器の の位置を計算する,本システムでは、ユーザから見た聴衆の顔の位置を計算する,（脱字箇所に丸と書き込み）,誤字脱字助詞や肝心な名詞（顔）が抜けており、文意が通じないため。,文法,,,,,,,,,,,,,,,,,,,,,
【第4章 4.1】発表ノート表示機能により...,（機能の説明と効果の記述について）,どういうこと?,論理の不明瞭さ機能の説明と、それによって得られる効果（緊張緩和）の因果関係が論理的に繋がっていない、または分かりにくいため。,論理,,,,,,,,,,,,,,,,,,,,,
【第5章 5.2】非情に効果,非常に高価,（丸囲みのみ）,誤変換「非情に効果（ひじょうにこうか）」という誤変換により、意味が「残酷な効果」になってしまっているため。,誤字脱字,,,,,,,,,,,,,,,,,,,,,
【第6章 6.2.1】（図6.1 システム実行結果のスクショ）,（PowerPointのスライドや発表メモが表示されている状態の画像に差し替え）,なにかしら発表メモがここに出ているスクリーンショットがほしい。,証拠の不足「発表ノート表示機能」の説明図なのに、ただカボチャが浮いているだけでノートが表示されていないため。,図表,,,,,,,,,,,,,,,,,,,,,
【第6章 6.2.1】各種機能をオンにするために...ハンドメニューを使用した。,各種機能を起動するために...,起動直後は「オンにするためハンドメニューを使用した」っておかしいよね。,論理矛盾まだ機能が動いていない（オフの）状態なのに、「オンにするために使った」という記述は時系列や状態遷移として不自然。,論理,,,,,,,,,,,,,,,,,,,,,
【第6章 6.2.1】（表6.3 Windows Runtime API）,（表内の引用番号[x]を削除、または整理）,Citeつけない♪こういう所が（空き）すぎ,フォーマット表の中に引用番号が散乱しており見づらい、およびセルの余白が大きすぎてスカスカに見えるため。,フォーマット,,,,,,,,,,,,,,,,,,,,,
【第6章 6.2.1】（図6.3 スライド操作UI）,（「発表ノート表示機能」と「タイマー」を整理して記述）,これは発表ノート表示機能ではなくタイマー表示機能じゃないの?2つのモノを（混同?）したい...,定義・分類の誤り「スライド操作UI」という図の中で、タイマー機能の説明が主になっており、機能の分類と説明が整合していない。,論理/構成,,,,,,,,,,,,,,,,,,,,,
【第6章 6.3.2 評価結果】各項目の平均値平均、中央値平均、最頻値平均はグループごとに聴衆の採点の平均値平均・中央値平均・最頻値平均を各グループの人数で割ったものである。,（統計処理の計算式を見直す）,?「平均値の平均を人数でわる」とはどういうこと?,数学・統計の誤り「平均の平均をさらに人数で割る」という計算は統計的に無意味どころか、値が極端に小さくなり（例: 3点/10人=0.3点）、評価指標として破綻している。致命的なミス。,論理/数学,,,,,,,,,,,,,,,,,,,,,
【第6章 6.3.2 評価結果】（考察全体に対して）,（評価軸の再考）,アンケートは「発表者の緊張」とどう関係付けられるの?,論理の飛躍「前を向いているか」「流暢か」などの客観指標が、直ちに「本人の緊張が緩和されたか」に結びつくわけではない（緊張していても前を向くことはできる）。,論理,,,,,,,,,,,,,,,,,,,,,
【第6章 6.3.3 評価まとめ】（まとめの考察に対して）,（実験の妥当性の再考）,・今回のアンケートで見ているのって「プレゼンテーション技術」だよね。・アンケートでは、「あがり症対策になっている（か）?」を見ないとダメだよね。,研究の根幹「プレゼンが上手くなったか」を評価してしまっており、本来の目的である「あがり症（緊張）が和らいだか」を評価できていないという、実験設計の妥当性に対する根本的な指摘。,論理/研究の本質,,,,,,,,,,,,,,,,,,,,,
【参考文献】（文献リスト）,（カテゴリごとに分けない、または通し番号のルールを守る）,調べたクラス毎に参考（文献）にしてるのはNG.,フォーマット使用したクラスや技術ごとに参考文献をブロック分けしているようだが、論文の参考文献リストは通し番号順（またはアルファベット順）に一括で並べるのが一般的。,フォーマット,,,,,,,,,,,,,,,,,,,,,
【表紙・全体】（全体に対して）,（第5章までしかチェックされていないため、6章以降も含め自力で再確認すること）,○ちょっとでも読み直ししていれば、自分でも修正できるだろう点が多すぎて、5章まで読んで力尽きた。○まずは自分で確認することを怠らないように!,基本姿勢の欠如誤字脱字や初歩的なミスが多すぎて、指導教員が査読を放棄せざるを得ない状態になっているため。,心構え,,,,,,,,,,,,,,,,,,,,,
【5.2 要件定義】非情に効果,非常に高価,（特になし、丸囲み）,誤変換「非情に効果（ひじょうにこうか）」という誤変換により、意味が通じなくなっている（OpenCVのアセット価格の話）。,誤字脱字,,,,,,,,,,,,,,,,,,,,,
【6.2.1 クライアント】（図6.1 スクリーンショット）,（発表メモが表示されている画像に差し替え）,なにかしら発表メモがここに出ているスクリーンショットがほしい。,証拠の不足「発表ノート表示機能」の説明図であるにもかかわらず、ノートが表示されていない画像が使われているため。,図表,,,,,,,,,,,,,,,,,,,,,
【6.2.1 ハンドメニュー】各種機能をオンにするために...ハンドメニューを使用した。,（「起動するため」等に修正）,起動直後は「オンにするためハンドメニューを使用した」っておかしいよね。,論理矛盾まだ機能が動いていない（オフの）状態なのに、「オンにするために使った」という記述は時系列や状態遷移として不自然。,論理,,,,,,,,,,,,,,,,,,,,,
【6.2.1 ハンドメニュー】「顔検出オン」ボタン,**「顔を隠す機能オン」**ボタン,コメント「顔検出」ボタンなのね。顔を隠すモノらへON/OFFなのに…。,用語の不一致ユーザー視点では「顔検出」ではなく「顔隠し機能」のON/OFFであるべきで、UIラベルと機能の目的がズレている。,UI/用語,,,,,,,,,,,,,,,,,,,,,
【6.2.1 人の顔を隠す機能】（表6.3 Windows Runtime API）,（表内の引用番号[x]を削除）,Citeつけない♪こういう所が（空き）すぎ,フォーマット表の中に引用番号を入れるのは一般的ではなく見づらい。またセルの余白設定が不適切。,フォーマット,,,,,,,,,,,,,,,,,,,,,
【6.2.1 人の顔を隠す機能】（座標変換の数式定義）,（左手系・右手系の変換定義の見直し）,v=y左手系の 右手系の,数式の誤りUnity（左手系）とWindows Runtime API（右手系）の座標変換において、変数の定義や変換行列が誤っている可能性がある。,数学/実装,,,,,,,,,,,,,,,,,,,,,
【6.2.1 発表ノート表示機能】次に、スライド操作UIについて説明する。...（中略）...「タイマー開始」ボタン,（タイマー機能として章を分ける、またはタイトルを変更する）,であれば、ここのタイトルを変えるべき。これは発表ノート表示機能ではなくタイマー表示機能じゃないの? 2つのモノを混同（?）したい...?,構成の不備「発表ノート機能」の節の中で「タイマー機能」の説明が大半を占めており、見出しと内容が一致していない。,構成,,,,,,,,,,,,,,,,,,,,,
【6.2.2 サーバ】PowerPointがアクティブとは、PowerPointの操作したいスライドが実行しているという意味である。,（定義の明確化）,PowerPointのファイル開かれていること? PowerPointのスライドショーが既に開始されているということ?,定義不足「アクティブ」という言葉が、ウィンドウが最前面にある状態か、スライドショー再生中か、ファイルが開いている状態か曖昧であるため。,定義,,,,,,,,,,,,,,,,,,,,,
【6.3.2 評価結果】...平均を各グループの人数で割ったものである。,（統計処理の計算式を見直す）,?「平均値の平均を人数でわる」とはどういうこと?,統計・数学の誤り平均値をさらに人数で割ると数値の意味が変わり（値が極端に小さくなる）、評価指標として破綻するため。,数学/論理,,,,,,,,,,,,,,,,,,,,,
【6.3.3 評価まとめ】（評価の結論部分）,（あがり症対策としての評価記述へ修正）,・今回のアンケートで見ているのって「プレゼンテーション技術」だよね。・アンケートでは、「あがり症対策になっている（か）?」を見ないとダメだよね。,研究の根幹「プレゼンが上手くなったか」ではなく「緊張が緩和されたか」を評価すべきであり、実験の目的と評価指標が乖離している。,論理/研究の本質,,,,,,,,,,,,,,,,,,,,,
【参考文献】（文献リスト全体）,（カテゴリごとに分けない）,調べたクラス毎に参考（文献）にしてるのはNG.,フォーマット使用した技術やクラスごとに参考文献をブロック分けせず、通し番号で一括管理するのが論文のルールであるため。,フォーマット,,,,,,,,,,,,,,,,,,,,,
【1.1 背景】ChatGPTの出力を指定したように行うことができるのだ。,（口調以外の具体的な指定例を追記する）,口調以外にどんな指定ができるのか分からないので具体例を記述,具体性の欠如「指定したように」という表現が曖昧で、読者が技術的な仕組みをイメージできないため。,論理/内容,,,,,,,,,,,,,,,,,,,,,
【1.1 背景】...できるのだ。,...できるのである。（または「である」）,だ・である調に統一,文体の不統一「～のだ」という表現は口語的・物語的であり、学術論文の文体（だ・である調）として不適切なため。,文体,,,,,,,,,,,,,,,,,,,,,
【1.3 論文構成】第1章 はじめに本研究の...第2章 関連研究本研究に...,（LaTeXのdescription環境などを用いて整形する）,こういう書き方(箇条書き)したいならdescription環境を使うとよい。,LaTeXの記法見出しと説明文のリスト構造を作成する際、手動で改行するのではなく、適切なコマンドを使うべきという技術的指導。,フォーマット,,,,,,,,,,,,,,,,,,,,,
【2章 全体】、 / ，,（どちらかに統一する、通常は「，」）,句読点は、、と，は混ぜて使うのはNG.,表記揺れ読点（テン）として「、」と「，」が混在しており、論文としての体裁が整っていないため。,フォーマット,,,,,,,,,,,,,,,,,,,,,
【2.1 関連研究】ChatGPTを用いて、人物の特徴を反映したセリフを抽出し、,（抽出の主体や方法を見直す）,ChatGPTを用いてセリフを抽出するの?,事実確認/論理「ChatGPTが抽出する」のか「人間が抽出してChatGPTに入力する」のか、主語や処理プロセスが曖昧であるため。,論理,,,,,,,,,,,,,,,,,,,,,
【2.1 関連研究】ChatGPTを用いてそこでは、実際にセリフ集合から...,① この研究では、(生成)した人物像システムを用いて実際にセリフ集合から...,（文意が通るように修正指示）,係り受けの崩壊「ChatGPTを用いてそこでは」という接続が不自然で、文章の意味が通じにくくなっているため。,文法,,,,,,,,,,,,,,,,,,,,,
【2.2 関連研究】...研究[5]がある。,（文章全体を分かりやすく書き直す）,との意味が読みとれなかった…………,難読・悪文前段の文章が長く複雑すぎて、係り受け関係や意図が指導教員に伝わっていないため。,論理/文章力,,,,,,,,,,,,,,,,,,,,,
【2.3 関連研究】「Chat Haruhi」,``Chat Haruhi'',Texコードでは`` ''2つならべるとよい。,"LaTeXの記法LaTeXにおいて二重引用符（ダブルクォーテーション）を表示させる場合、キーボードの "" ではなく、バッククォート ` 2つとシングルクォート ' 2つを使うのが正しいため。",フォーマット,,,,,,,,,,,,,,,,,,,,,
【2.4 本研究と関連研究の差異】（見出しの上の空白）,（不要な空行の削除、または適切なコマンド使用）,不安なスペース,レイアウト意図不明な大きな空白行があり、レイアウトが崩れているように見えるため。,フォーマット,,,,,,,,,,,,,,,,,,,,,
【1.2 研究目的】...アニメキャラクターを模倣することが目的ではない。,（この一文を削除、または表現を弱める）,（「きらない」というメモ書き）言い切らない（方が良い）,表現の強さ実際には孫悟空を再現しているため、「模倣が目的ではない」と断言すると矛盾を感じさせる、あるいは防衛的すぎるため。,論理/表現,,,,,,,,,,,,,,,,,,,,,
【表紙】（全体に対して）,（朝のゼミでの修正版に差し替える）,○今朝のゼミで直した所が反映されてない・サイズ・itemize今度はちゃんと修正が反映された原稿に表紙つけてね,版管理のミス午前中に指摘された内容（フォントサイズや箇条書きのスタイル等）が直っていない古いデータを印刷してしまっているため。,提出不備,,,,,,,,,,,,,,,,,,,,,
【表紙】（ページ番号について）,（ページ番号の整合性を確認）,○あと細所（紙面上のページ番号）を直したら、提出して。,フォーマット目次のページ番号と実際のページ番号がずれている、あるいはヘッダー/フッターの番号位置がおかしい等の不備。,フォーマット,,,,,,,,,,,,,,,,,,,,,
【第1章 1.1】つまり口調や画像出力など、ChatGPTの出力を自分好みに指定できるのだ。,**つまり口調で○○など、**ChatGPTの出力を自分好みに指定できるのだ。,口調以外にどんな指定ができるのか分からないので（具体例を書く）,具体性の欠如「自分好みに指定」だけでは読者に伝わらないため、具体的なプロンプト例（口調の指定など）を挙げる必要がある。,内容,,,,,,,,,,,,,,,,,,,,,
【第4章 4.1 図4.1】（図4.1 全体）,（図のサイズやレイアウト修正）,→の全体のサイズや（配置？）...,図表の視認性図中の矢印やボックスのバランスが悪く、見栄えが悪いため（OCRからは詳細不明だがサイズ調整の指示）。,図表,,,,,,,,,,,,,,,,,,,,,
【第4章 4.1 図4.1周辺】（本文外の余白）,（このバージョンは破棄）,ゼミ中に直した反映されてないバージョンで、ファイルを作ってない,版管理のミス表紙のコメントと同様、このページの図が修正前の古いものであることを指摘されている。,提出不備,,,,,,,,,,,,,,,,,,,,,
【第5章 5.1】（冒頭付近）,（修正の反映）,ゼミで直した所 反映されてない。,版管理のミスここでも朝の指摘事項が直っていないことが強調されている。,提出不備,,,,,,,,,,,,,,,,,,,,,
【表紙】（全体）,（e. の文字削除、レイアウト確認）,（e. の文字に×印）,不要な文字誤って入力されたと思われる文字「e.」が残っているため。,フォーマット,,,,,,,,,,,,,,,,,,,,,
【1.2 関連研究】itemize description,（箇条書きスタイルの修正）,（itemize description というメモ書き）,LaTeXの記法箇条書きのスタイルとして、itemize ではなく description 環境などを用いて、文献タイトルを見出しとして整形すべきという指導。,フォーマット,,,,,,,,,,,,,,,,,,,,,
【4.2 分析】（グラフの単位について）,（本文または図中に単位を明記する）,・単位は?,情報の不足加速度の数値（47.63など）に対して単位（m/s²など）が示されておらず、科学的なデータとして不完全であるため。,データ/論理,,,,,,,,,,,,,,,,,,,,,
【4.2 分析】（グラフの配置・キャプション）,（図の配置修正、キャプションの記述）,include graphics check.（グラフの説明文を追加する指示）各スパイク動作について、助走の勢いと、ジャンプ時の加速度との関係をプロットしたグラフである。,図表の不備図が適切な位置に配置されておらず（文章に被っている等）、また図の説明（キャプション）が不足しているため。,図表,,,,,,,,,,,,,,,,,,,,,
【4.2 分析】（図4.4～4.6のタイトル・軸ラベル）,（日本語化、または統一）,（英語の軸ラベルに丸囲み）,表記の統一本文は日本語なのにグラフの軸ラベルやタイトルが英語のままであり、論文全体の言語統一がなされていないため。,フォーマット,,,,,,,,,,,,,,,,,,,,,
【4.2 分析】（図4.7～4.9のタイトル・軸ラベル）,（日本語化、または統一）,（英語の軸ラベルに丸囲み）各スパイク動作について、ジャンプの高さとインパクトまでの経過時間の関係をプロットしたグラフである。,表記の統一/説明不足同上。グラフの内容を説明するキャプションの追記も指示されている。,フォーマット,,,,,,,,,,,,,,,,,,,,,
【参考文献】（文献リスト全体）,（全角括弧を半角に修正、または統一）,内側に全角を含むものは全角（カッコ）で、半角（カッコ）は、半角のカッコで書く,記法ルール括弧の全角・半角の使い分けが不統一であり、論文としての体裁が整っていないため。,フォーマット,,,,,,,,,,,,,,,,,,,,,
【表紙】（全体に対して）,（前回の指摘事項をすべて確認し、修正してから再提出）,前回の添削 反映されていない箇所が多すぎ、再度確認してから出し（て）,提出不備以前の指導内容が修正されないまま提出されており、指導教員が査読を進められない状態であるため。,心構え,,,,,,,,,,,,,,,,,,,,,
【概要】（内容全体）,（「概要」として要約する。詳細は削る）,「概要」だということを忘れない様に。あまりに細かすぎる内容を入れ込みすぎ。ここは「だけ」の指摘になっているので、文脈とか考えて、構成から文章作り直して。,構成の不備アブストラクト（概要）であるべき箇所に、本文レベルの詳細な説明が書かれてしまっているため。,構成/論理,,,,,,,,,,,,,,,,,,,,,
【4.1 プレゼン補助システム】作成した。発表ノート表示機能により...,作成した。発表ノート表示機能により...（段落を繋げる）,段落切らない。,文体/構成文脈的に段落を変える必要がない箇所で改行されているため。,フォーマット,,,,,,,,,,,,,,,,,,,,,
【4.2 システム処理の流れ】（図4.4 発表ノート表示機能）,（図の配置位置を調整）,最後の調整時にP16 P15 かかるように... begin figure lastをかえる,LaTeXの記法図表の挿入位置指定（[htbp]など）が不適切で、意図しないページに図が飛んでしまっているため。,フォーマット,,,,,,,,,,,,,,,,,,,,,
【4.3 顔の位置推定手法】（数式や座標変換の説明）,（前回の指摘通りに修正されているか確認）,指摘箇所は直したか確認して!,未修正の疑義前回の添削で指摘された数式や座標系の定義ミスが、修正されていないように見えるため。,数学/論理,,,,,,,,,,,,,,,,,,,,,
【6.2 実装】（図6.2 スライドのスクショ）,（「システムテスト用スライド」ではなく、実際の内容が入ったスライド画像にする）,これではダメ。ちゃんと意味のあるスライドを持ってくると（良い）。,証拠の質「発表ノート」の説明をしているのに、テスト用の空虚なスライド画像では機能の有用性が伝わらないため。,図表/内容,,,,,,,,,,,,,,,,,,,,,
【6.2.1 クライアント】（座標変換の行列式など）,（前回の指摘通りに修正）,こういう所が多すぎ。（前）と同じ箇所で指摘したはず。ちゃんと見直しすること,未修正前回も指摘された行列式の誤りや、右手系・左手系の変換定義が直っていないことに対する強い指導。,数学/論理,,,,,,,,,,,,,,,,,,,,,
【6.2.1 ハンドメニュー】（図6.5 ハンドレイとエアタップ）,（画像の出典を明記）,出典を書く。,引用の不備他者の画像（Microsoftのドキュメント等）を使用している場合、必ず出典を記載しなければ盗用となるため。,引用/倫理,,,,,,,,,,,,,,,,,,,,,
【7.2 今後の課題】（内容全体）,（前回の指摘事項を確認）,前回の添削を確認して、,未修正この章に関しても、前回指摘した内容（論理構成や表現など）が修正されていないため。,論理/構成,,,,,,,,,,,,,,,,,,,,,
【第2章 2.1】...送信し、...行うことができるとしている。,...送信し、...行うことができるというものである。（または「〜できる環境である」）,（丸囲みのみ）,文末表現先行研究のシステム概要を説明する文脈であり、「～している（主張している）」よりも「～ものである（事実説明）」の方が適切なため。,文体,,,,,,,,,,,,,,,,,,,,,
【第2章 2.1】...実施できるとしている。,...実施できるというものである。,（丸囲みのみ）,文末表現同上。,文体,,,,,,,,,,,,,,,,,,,,,
【第3章 3.2】外部からアクセスするためのAPIが送信されている,外部からアクセスするためのAPIが提供されている,提供,用語の誤用APIは「送信」されるものではなく、「提供（公開）」されるものであるため。,用語,,,,,,,,,,,,,,,,,,,,,
